main_site,other_site,year,convergence_correlation
25,48,1,-0.011456957934141584
25,49,1,0.13049701341201797
25,49,2,0.073281829800836
25,52,1,0.10762668178861359
25,52,2,0.002891138092189139
25,53,1,0.11040468885253639
25,53,2,0.06367748103801915
25,54,1,0.042071295706941146
25,54,2,0.022099433408397238
25,55,1,0.0705545550602985
25,55,2,0.04125200369032305
25,57,1,0.10107910333339602
25,57,2,-0.03851029362989341
25,60,1,0.03091120147615989
26,27,1,0.01082989599115784
26,28,1,0.0293289026466115
26,32,1,0.1000819092007277
26,33,1,-0.012016296588669166
26,37,1,-0.003565608297538113
26,42,1,0.07727537552904143
26,43,1,0.10218792268758392
26,45,1,0.038900322234582306
26,46,1,0.06138699243939994
26,48,1,-0.02372746391079699
26,49,1,0.05814387982488511
26,52,1,-0.04094737277384759
26,53,1,0.010389367749058982
26,54,1,0.11300193369608018
26,55,1,-0.0036374460088597097
26,57,1,0.02593828632036046
26,60,1,0.033190252307969396
27,28,1,0.027868427107581452
27,28,2,-0.018517144977198086
27,28,3,0.014590168226360698
27,32,1,-0.07937782264215779
27,32,2,-0.03166000276448103
27,32,3,-0.0007343827237288624
27,33,1,-0.0011250129368159476
27,33,2,-0.01273910901822275
27,37,1,0.031439479686835754
27,42,1,-0.04230369277450599
27,42,2,0.0038020046209190804
27,42,3,0.010066051936962379
27,42,4,-0.014225809128343187
27,42,5,0.003020382830026148
27,43,1,-0.06174829544366034
27,43,2,-0.022500192451783665
27,43,3,-0.006127542311883353
27,45,1,0.00037243780789266573
27,45,2,-0.03592377803230027
27,45,3,-0.0035871502963394763
27,45,4,-0.00697617833223753
27,45,5,-0.0012420919754319985
27,46,1,-0.04852800172662905
27,46,2,-0.008208473582429229
27,46,3,0.042192716941794106
27,46,4,0.050077583889416286
27,46,5,-0.01234757591430309
27,48,1,0.01889331394386842
27,48,3,0.020812727746450186
27,49,1,-0.03911196209364897
27,49,2,0.024311228991094197
27,52,1,-0.008976422765093254
27,52,2,0.010981867759618569
27,52,3,0.018176620703742957
27,52,4,0.001045448761181882
27,53,1,-0.033147935526091986
27,53,2,-0.024011781273141016
27,53,3,0.00960675252583481
27,54,1,-0.0667981979195018
27,54,2,0.004879040055040924
27,54,3,-0.0008728573693052804
27,55,1,-0.03294925181299107
27,55,2,0.00964910388494059
27,55,3,-0.011592743601903613
27,55,4,0.002351142072191109
27,55,5,0.006714693058871501
27,57,1,0.010707630520566747
27,57,2,-0.019108430113334518
27,57,3,-0.02609734393527632
27,57,4,0.022873989000228565
27,57,5,0.006654925687246488
27,60,1,0.0012249591675223895
28,32,1,-0.22064516860805553
28,32,2,-0.01886337846170626
28,32,3,0.007135897308484879
28,33,1,0.11757015117955698
28,33,2,-0.012726902611863223
28,37,1,0.17041934589676838
28,42,1,-0.026393009005176927
28,42,2,0.018563758092416578
28,42,3,0.10325682695022671
28,43,1,-0.15284431449798624
28,43,2,-0.03367436120076447
28,43,3,0.1025321229548365
28,45,1,0.10319069980498578
28,45,2,-0.05515686202598499
28,45,3,0.1301606681776221
28,46,1,-0.00569977952002393
28,46,2,0.08170191780696573
28,46,3,0.017247132449266005
28,48,1,0.06136239273106994
28,48,3,0.00038013330269069326
28,49,1,-0.07301586217145187
28,49,2,0.07122493780911032
28,52,1,0.02501016569873476
28,52,2,-0.021087002822617898
28,52,3,-0.016685975423561508
28,53,1,-0.05496779536309714
28,53,2,0.08258286868227072
28,53,3,-0.05066082355752513
28,54,1,-0.13677999989590975
28,54,2,0.035945608753253526
28,54,3,-0.00986401068223661
28,55,1,-0.07296712467730539
28,55,2,0.04660106172947029
28,55,3,0.08202952758213611
28,57,1,0.14682677436385985
28,57,2,-0.024140083957185417
28,57,3,-0.028208243430680447
28,60,1,-0.040347928119307416
32,33,1,-0.06009411998221637
32,33,2,0.006562718225752799
32,37,1,-0.23460427876555606
32,42,1,0.311664367022807
32,42,2,-0.054066213024528104
32,42,3,0.0050088276228340035
32,43,1,0.705385095130766
32,43,2,0.04171636177690256
32,43,3,0.034797128920329344
32,45,1,0.17787496250284582
32,45,2,0.17833101919605154
32,45,3,-0.015301596652438512
32,46,1,0.4897028629993274
32,46,2,-0.06907838222383818
32,46,3,-0.006741920396965969
32,48,1,-0.18714865049971616
32,48,3,-0.0012718260875814163
32,49,1,0.4991782620928383
32,49,2,-0.042761423858269906
32,52,1,0.06786206421160047
32,52,2,-0.0027202317726108282
32,52,3,0.010712928813177544
32,53,1,0.3264288375836075
32,53,2,-0.03010816520776953
32,53,3,0.002840624473627396
32,54,1,0.7176560818053768
32,54,2,-0.0790478922747572
32,54,3,-0.007361643880739834
32,55,1,0.27851667904195465
32,55,2,-0.0068630901345848065
32,55,3,0.009210706814081602
32,57,1,-0.11157714188319069
32,57,2,0.008704824933652187
32,57,3,-0.0036520185585000504
32,60,1,0.23096322762196142
33,37,1,0.174066706428223
33,42,1,0.01153305825207826
33,42,2,-0.038509653898053955
33,43,1,-0.04530719098064992
33,43,2,0.03467607287486936
33,45,1,0.02024311714634906
33,45,2,0.06087785931257735
33,46,1,0.038017187319424606
33,46,2,0.0151670051473646
33,48,1,0.06681066168988632
33,49,1,-0.037496798293865985
33,49,2,-0.00585525923280107
33,52,1,-0.0001697366342071322
33,52,2,-0.010217622281874178
33,53,1,-0.01926738245145247
33,53,2,-0.013137473436997766
33,54,1,-0.04341468022586356
33,54,2,-0.039173325286893226
33,55,1,-0.019788181488765696
33,55,2,-0.015072338409235494
33,57,1,0.029877842080349878
33,57,2,0.009006269788243954
33,60,1,-0.003957830524113563
37,42,1,-0.016708607649886235
37,43,1,-0.15920501811439505
37,45,1,0.11240833192994598
37,46,1,0.011869612602385145
37,48,1,0.06523797640803397
37,49,1,-0.09200461060373545
37,52,1,0.02065863020909783
37,53,1,-0.07027773186220389
37,54,1,-0.13697687713163453
37,55,1,-0.07086105311257912
37,57,1,0.1757895773301955
37,60,1,-0.04441993519291648
42,43,1,0.2842065397737464
42,43,2,-0.07420897045466167
42,43,3,0.15546971608263158
42,45,1,0.3081541124870163
42,45,2,-0.09364749514532177
42,45,3,0.21234281266437102
42,45,4,0.031842862011119924
42,45,5,-0.023763896516351038
42,46,1,0.3395095119720948
42,46,2,0.09299360393916309
42,46,3,-0.006096171577552158
42,46,4,0.005110625761512324
42,46,5,-0.012341075113676263
42,48,1,-0.11436951608711758
42,48,3,-0.012256460680402976
42,49,1,0.3785493399413495
42,49,2,0.0681172739290288
42,52,1,0.09417693738470843
42,52,2,-0.01119455791261537
42,52,3,0.03805310471796717
42,52,4,0.005377370079351577
42,53,1,0.19472454035769685
42,53,2,0.013061460932508045
42,53,3,-0.018527390450802997
42,54,1,0.3340821532958105
42,54,2,0.04836539128364003
42,54,3,-0.01577761522683639
42,55,1,0.16407601173637104
42,55,2,0.028206840384492657
42,55,3,0.11915944686415675
42,55,4,0.06394572892604335
42,55,5,0.015684091318261723
42,57,1,0.08952613184083767
42,57,2,0.00022161352068566313
42,57,3,-0.033988600837483104
42,57,4,0.02507705167224033
42,57,5,0.031130411746074962
42,60,1,0.12398439521827227
43,45,1,0.17908739698237686
43,45,2,0.0835905689842373
43,45,3,0.22987670495698825
43,46,1,0.45455076084163665
43,46,2,-0.09684330291256754
